CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,ChatGPT_Response
CVE-2019-9747,CVE-2019-9747,"In tinysvcmdns through 2018-01-16, a maliciously crafted mDNS (Multicast DNS) packet triggers an infinite loop while parsing an mDNS query. When mDNS compressed labels point to each other, the function uncompress_nlabel goes into an infinite loop trying to analyze the packet with an mDNS query. As a result, the mDNS server hangs after receiving the malicious mDNS packet. NOTE: the product's web site states ""This project is un-maintained, and has been since 2013. ... There are known vulnerabilities ... You are advised to NOT use this library for any new projects / products.""",tinysvcmdns_project,tinysvcmdns,HIGH,CWE-835,DNS,none
CVE-2004-0661,CVE-2004-0661,"Integer signedness error in D-Link AirPlus DI-614+ running firmware 2.30 and earlier allows remote attackers to cause a denial of service (IP lease depletion) via a DHCP request with the LEASETIME option set to -1, which makes the DHCP lease valid for thirteen or more years.",d-link,"di-614\+, di-624, di-604",MEDIUM,NVD-CWE-Other,DHCP,DHCP
CVE-2017-13017,CVE-2017-13017,The DHCPv6 parser in tcpdump before 4.9.2 has a buffer over-read in print-dhcp6.c:dhcp6opt_print().,tcpdump,tcpdump,CRITICAL,CWE-125,DHCP,DHCP
CVE-1999-0223,CVE-1999-0223,Solaris syslogd crashes when receiving a message from a host that doesn't have an inverse DNS entry.,sun,sunos,LOW,NVD-CWE-Other,DNS,DNS
CVE-2018-11315,CVE-2018-11315,"The Local HTTP API in Radio Thermostat CT50 and CT80 1.04.84 and below products allows unauthorized access via a DNS rebinding attack. This can result in remote device temperature control, as demonstrated by a tstat t_heat request that accesses a device purchased in the Spring of 2018, and sets a home's target temperature to 95 degrees Fahrenheit. This vulnerability might be described as an addendum to CVE-2013-4860.",radiothermostat,"ct50_firmware, ct50, ct80_firmware, ct80",MEDIUM,CWE-20,DNS,DNS
CVE-2019-0726,CVE-2019-0726,"A memory corruption vulnerability exists in the Windows DHCP client when an attacker sends specially crafted DHCP responses to a client, aka 'Windows DHCP Client Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2019-0697, CVE-2019-0698.",microsoft,"windows_10, windows_server_2016, windows_server_2019",CRITICAL,CWE-787,DHCP,DHCP
CVE-2019-12435,CVE-2019-12435,"Samba 4.9.x before 4.9.9 and 4.10.x before 4.10.5 has a NULL pointer dereference, leading to Denial of Service. This is related to the AD DC DNS management server (dnsserver) RPC server process.",samba,samba,MEDIUM,CWE-476,DNS,DNS
CVE-2014-2182,CVE-2014-2182,"Cisco Adaptive Security Appliance (ASA) Software, when DHCPv6 replay is configured, allows remote attackers to cause a denial of service (device reload) via a crafted DHCPv6 packet, aka Bug ID CSCun45520.",cisco,adaptive_security_appliance_software,MEDIUM,CWE-20,DHCP,DHCP
CVE-2002-1071,CVE-2002-1071,"ZyXEL Prestige 642R allows remote attackers to cause a denial of service in the Telnet, FTP, and DHCP services (crash) via a TCP packet with both the SYN and ACK flags set.",zyxel,prestige,MEDIUM,NVD-CWE-Other,DHCP,DHCP
CVE-2016-10719,CVE-2016-10719,"TP-Link Archer CR-700 1.0.6 devices have an XSS vulnerability that can be introduced into the admin account through a DHCP request, allowing the attacker to steal the cookie information, which contains the base64 encoded username and password.",tp-link,"archer_cr700_firmware, archer_cr700",MEDIUM,CWE-79,DHCP,DHCP
CVE-2002-1069,CVE-2002-1069,"The remote administration capability for the D-Link DI-804 router 4.68 allows remote attackers to bypass authentication and release DHCP addresses or obtain sensitive information via a direct web request to the pages (1) release.htm, (2) Device Status, or (3) Device Information.",d-link,di-804,MEDIUM,NVD-CWE-Other,DHCP,DHCP
CVE-2012-0068,CVE-2012-0068,The lanalyzer_read function in wiretap/lanalyzer.c in Wireshark 1.4.x before 1.4.11 and 1.6.x before 1.6.5 allows remote attackers to cause a denial of service (application crash) via a Novell capture file containing a record that is too small.,wireshark,wireshark,MEDIUM,CWE-20,None,none
CVE-2017-2348,CVE-2017-2348,"The Juniper Enhanced jdhcpd daemon may experience high CPU utilization, or crash and restart upon receipt of an invalid IPv6 UDP packet. Both high CPU utilization and repeated crashes of the jdhcpd daemon can result in a denial of service as DHCP service is interrupted. No other Juniper Networks products or platforms are affected by this issue. Affected releases are Juniper Networks Junos OS 14.1X53 prior to 14.1X53-D12, 14.1X53-D38, 14.1X53-D40 on QFX, EX, QFabric System; 15.1 prior to 15.1F2-S18, 15.1R4 on all products and platforms; 15.1X49 prior to 15.1X49-D80 on SRX; 15.1X53 prior to 15.1X53-D51, 15.1X53-D60 on NFX, QFX, EX.",juniper,junos,HIGH,CWE-400,DHCP,DHCP
CVE-2015-6297,CVE-2015-6297,"The DHCPv6 server in Cisco IOS on ASR 9000 devices with software 5.2.0 Base allows remote attackers to cause a denial of service (process reset) via crafted packets, aka Bug ID CSCun36525.",cisco,"asr_9006, asr_9912, asr_9922, ios_xr, asr_9001, asr_9010, asr_9904",MEDIUM,CWE-399,DHCP,DHCP
CVE-2016-1367,CVE-2016-1367,"The DHCPv6 relay implementation in Cisco Adaptive Security Appliance (ASA) Software 9.4.1 allows remote attackers to cause a denial of service (device reload) via crafted DHCPv6 packets, aka Bug ID CSCus23248.",cisco,adaptive_security_appliance_software,HIGH,CWE-399,DHCP,DHCP
CVE-2012-6700,CVE-2012-6700,"The decode_search function in dhcp.c in dhcpcd 3.x does not properly free allocated memory, which allows remote DHCP servers to cause a denial of service via a crafted response.","dhcpcd_project, debian","dhcpcd, debian_linux",HIGH,CWE-119,DHCP,DHCP
CVE-2018-20373,CVE-2018-20373,Tenda ADSL modem routers 1.0.1 allow XSS via the hostname of a DHCP client.,tendacn,"adsl_firmware, adsl",MEDIUM,CWE-79,DHCP,DHCP
CVE-2009-0692,CVE-2009-0692,"Stack-based buffer overflow in the script_write_params method in client/dhclient.c in ISC DHCP dhclient 4.1 before 4.1.0p1, 4.0 before 4.0.1p1, 3.1 before 3.1.2p1, 3.0, and 2.0 allows remote DHCP servers to execute arbitrary code via a crafted subnet-mask option.",isc,dhcp,HIGH,CWE-119,DHCP,DHCP
CVE-2019-3979,CVE-2019-3979,"RouterOS versions 6.45.6 Stable, 6.44.5 Long-term, and below are vulnerable to a DNS unrelated data attack. The router adds all A records to its DNS cache even when the records are unrelated to the domain that was queried. Therefore, a remote attacker controlled DNS server can poison the router's DNS cache via malicious responses with additional and untrue records.",mikrotik,routeros,HIGH,CWE-345,DNS,DNS
CVE-2007-6424,CVE-2007-6424,"registry.pl in Fonality Trixbox 2.0 PBX products, when running in certain environments, reads and executes a set of commands from a remote web site without sufficiently validating the origin of the commands, which allows remote attackers to disable trixbox and execute arbitrary commands via a DNS spoofing attack.",netfortris,trixbox,MEDIUM,CWE-264,DNS,DNS
CVE-2014-7821,CVE-2014-7821,OpenStack Neutron before 2014.1.4 and 2014.2.x before 2014.2.1 allows remote authenticated users to cause a denial of service (crash) via a crafted dns_nameservers value in the DNS configuration.,"fedoraproject, openstack, redhat","neutron, openstack, fedora",MEDIUM,"CWE-20, CWE-399",DNS,DNS
CVE-2019-6643,CVE-2019-6643,"On versions 14.1.0-14.1.0.5, 14.0.0-14.0.0.4, 13.0.0-13.1.2, 12.1.0-12.1.4.1, and 11.5.2-11.6.4, an attacker sending specifically crafted DHCPv6 requests through a BIG-IP virtual server configured with a DHCPv6 profile may be able to cause the TMM process to produce a core file.",f5,"big-ip_policy_enforcement_manager, big-ip_webaccelerator, big-ip_access_policy_manager, big-ip_local_traffic_manager, big-ip_domain_name_system, big-ip_application_acceleration_manager, big-ip_application_security_manager, big-ip_fraud_protection_service, big-ip_global_traffic_manager, big-ip_advanced_firewall_manager, big-ip_link_controller, big-ip_analytics, big-ip_edge_gateway",HIGH,NVD-CWE-noinfo,DHCP,DHCP
CVE-2020-1672,CVE-2020-1672,"On Juniper Networks Junos OS devices configured with DHCPv6 relay enabled, receipt of a specific DHCPv6 packet might crash the jdhcpd daemon. The jdhcpd daemon automatically restarts without intervention, but continuous receipt of specific crafted DHCP messages will repeatedly crash jdhcpd, leading to an extended Denial of Service (DoS) condition. Only DHCPv6 packet can trigger this issue. DHCPv4 packet cannot trigger this issue. This issue affects Juniper Networks Junos OS: 17.3 versions prior to 17.3R3-S9; 17.4 versions prior to 17.4R2-S11, 17.4R3-S2, 17.4R3-S3; 18.1 versions prior to 18.1R3-S11; 18.2 versions prior to 18.2R3-S5; 18.3 versions prior to 18.3R2-S4, 18.3R3-S3; 18.4 versions prior to 18.4R2-S5, 18.4R3-S4; 19.1 versions prior to 19.1R2-S2, 19.1R3-S2; 19.2 versions prior to 19.2R1-S5, 19.2R2-S1, 19.2R3; 19.3 versions prior to 19.3R2-S4, 19.3R2-S4, 19.3R3; 19.4 versions prior to 19.4R1-S3, 19.4R2-S1, 19.4R3; 20.1 versions prior to 20.1R1-S3, 20.1R2.",juniper,junos,HIGH,CWE-20,DHCP,DHCP
CVE-2020-11003,CVE-2020-11003,"Oasis before version 2.15.0 has a potential DNS rebinding or CSRF vulnerability. If you're running a vulnerable application on your computer and an attacker can trick you into visiting a malicious website, they could use DNS rebinding and CSRF attacks to read/write to vulnerable applications. This has been patched in 2.15.0.",fraction,oasis,HIGH,CWE-352,DNS,"DNS, none"
CVE-2008-1654,CVE-2008-1654,"Interaction error between Adobe Flash and multiple Universal Plug and Play (UPnP) services allow remote attackers to perform Cross-Site Request Forgery (CSRF) style attacks by using the Flash navigateToURL function to send a SOAP message to a UPnP control point, as demonstrated by changing the primary DNS server.",adobe,flash_player,MEDIUM,CWE-352,DNS,"DNS, none"
CVE-2008-5010,CVE-2008-5010,"in.dhcpd in the DHCP implementation in Sun Solaris 8 through 10, and OpenSolaris before snv_103, allows remote attackers to cause a denial of service (assertion failure and daemon exit) via unknown DHCP requests related to the ""number of offers,"" aka Bug ID 6713805.",sun,"solaris, opensolaris",HIGH,NVD-CWE-noinfo,DHCP,DHCP
CVE-2020-27725,CVE-2020-27725,"In version 15.1.0-15.1.0.5, 14.1.0-14.1.3, 13.1.0-13.1.3.4, 12.1.0-12.1.5.2, and 11.6.1-11.6.5.2 of BIG-IP DNS, GTM, and Link Controller, zxfrd leaks memory when listing DNS zones. Zones can be listed via TMSH, iControl or SNMP; only users with access to those services can trigger this vulnerability.",f5,"big-ip_global_traffic_manager, big-ip_domain_name_system, big-ip_link_controller",MEDIUM,CWE-401,DNS,DNS
CVE-2016-5933,CVE-2016-5933,IBM Tivoli Monitoring 6.2 and 6.3 is vulnerable to possible host header injection attack that could lead to HTTP cache poisoning or firewall bypass. IBM Reference #: 1997223.,ibm,tivoli_monitoring,MEDIUM,CWE-254,None,none
CVE-2018-1000135,CVE-2018-1000135,"GNOME NetworkManager version 1.10.2 and earlier contains a Information Exposure (CWE-200) vulnerability in DNS resolver that can result in Private DNS queries leaked to local network's DNS servers, while on VPN. This vulnerability appears to have been fixed in Some Ubuntu 16.04 packages were fixed, but later updates removed the fix. cf. https://bugs.launchpad.net/ubuntu/+bug/1754671 an upstream fix does not appear to be available at this time.","canonical, gnome","networkmanager, ubuntu_linux",HIGH,CWE-200,DNS,DNS
CVE-2018-20872,CVE-2018-20872,"DrayTek routers before 2018-05-23 allow CSRF attacks to change DNS or DHCP settings, a related issue to CVE-2017-11649.",i-lan,draytekl_firmware,MEDIUM,CWE-352,"DNS, DHCP","DNS, DHCP"
CVE-2005-2316,CVE-2005-2316,Domain Name Relay Daemon (DNRD) before 2.19.1 allows remote attackers to cause a denial of service (infinite recursion) via a DNS packet that uses message compression in the QNAME and two pointers that point to each other (circular buffer).,dnrd,dnrd,MEDIUM,NVD-CWE-Other,DNS,DNS
CVE-1999-0875,CVE-1999-0875,DHCP clients with ICMP Router Discovery Protocol (IRDP) enabled allow remote attackers to modify their default routes.,"sun, microsoft","windows_95, sunos, windows_2000, solaris, windows_98se",HIGH,CWE-16,DHCP,"DHCP, ICMP"
CVE-2015-1781,CVE-2015-1781,"Buffer overflow in the gethostbyname_r and other unspecified NSS functions in the GNU C Library (aka glibc or libc6) before 2.22 allows context-dependent attackers to cause a denial of service (crash) or execute arbitrary code via a crafted DNS response, which triggers a call with a misaligned buffer.","canonical, suse, gnu, debian","glibc, debian_linux, linux_enterprise_server, ubuntu_linux, linux_enterprise_debuginfo, linux_enterprise_desktop",MEDIUM,CWE-119,DNS,DNS
CVE-2005-0033,CVE-2005-0033,Buffer overflow in the code for recursion and glue fetching in BIND 8.4.4 and 8.4.5 allows remote attackers to cause a denial of service (crash) via queries that trigger the overflow in the q_usedns array that tracks nameservers and addresses.,isc,bind,MEDIUM,NVD-CWE-Other,DNS,DNS
CVE-2012-3570,CVE-2012-3570,"Buffer overflow in ISC DHCP 4.2.x before 4.2.4-P1, when DHCPv6 mode is enabled, allows remote attackers to cause a denial of service (segmentation fault and daemon exit) via a crafted client identifier parameter.",isc,dhcp,MEDIUM,CWE-119,DHCP,DHCP
CVE-2019-16651,CVE-2019-16651,"An issue was discovered on Virgin Media Super Hub 3 (based on ARRIS TG2492) devices. Because their SNMP commands have insufficient protection mechanisms, it is possible to use JavaScript and DNS rebinding to leak the WAN IP address of a user (if they are using certain VPN implementations, this would decloak them).",virginmedia,"super_hub_3_firmware, super_hub_3",MEDIUM,CWE-863,DNS,DNS
CVE-2018-17013,CVE-2018-17013,"An issue was discovered on TP-Link TL-WR886N 6.0 2.3.4 and TL-WR886N 7.0 1.1.0 devices. Authenticated attackers can crash router services (e.g., inetd, HTTP, DNS, and UPnP) via long JSON data for protocol wan wan_rate.",tp-link,"tl-wr886n, tl-wr886n_firmware",MEDIUM,NVD-CWE-noinfo,None,none
CVE-2020-25109,CVE-2020-25109,"An issue was discovered in the DNS implementation in Ethernut in Nut/OS 5.1. The number of DNS queries/responses (set in a DNS header) is not checked against the data present. This may lead to successful Denial-of-Service, and possibly Remote Code Execution.",ethernut,nut\/os,CRITICAL,CWE-125,DNS,DNS
CVE-2018-14644,CVE-2018-14644,"An issue has been found in PowerDNS Recursor from 4.0.0 up to and including 4.1.4. A remote attacker sending a DNS query for a meta-type like OPT can lead to a zone being wrongly cached as failing DNSSEC validation. It only arises if the parent zone is signed, and all the authoritative servers for that parent zone answer with FORMERR to a query for at least one of the meta-types. As a result, subsequent queries from clients requesting DNSSEC validation will be answered with a ServFail.",powerdns,recursor,MEDIUM,CWE-20,DNS,DNS
CVE-2020-3510,CVE-2020-3510,"A vulnerability in the Umbrella Connector component of Cisco IOS XE Software for Cisco Catalyst 9200 Series Switches could allow an unauthenticated, remote attacker to trigger a reload, resulting in a denial of service condition on an affected device. The vulnerability is due to insufficient error handling when parsing DNS requests. An attacker could exploit this vulnerability by sending a series of malicious DNS requests to an Umbrella Connector client interface of an affected device. A successful exploit could allow the attacker to cause a crash of the iosd process, which triggers a reload of the affected device.",cisco,"catalyst_c9500-24q, catalyst_c9300l-24p-4x, catalyst_c9200l-48pxg-2y, catalyst_c9300-48s, catalyst_c9200l-24t-4x, catalyst_c9200l-48p-4g, catalyst_c9500-40x, catalyst_c9200l-48p-4x, catalyst_c9200l-48t-4g, catalyst_c9407r, catalyst_c9300l-24t-4g, catalyst_c9200l-24p-4x, catalyst_c9600-lc-24c, catalyst_c9200-24t, catalyst_c9600-lc-48s, catalyst_c9300-48uxm, catalyst_c9300l-48p-4g, catalyst_c9300-24t, catalyst_c9500-24y4c, catalyst_c9300-48p, catalyst_c9500-12q, catalyst_c9300-24s, catalyst_c9404r, catalyst_c9200l-48pxg-4x, catalyst_c9300l-24p-4g, catalyst_c9300-24ux, catalyst_c9200l-24p-4g, catalyst_c9200-24p, catalyst_c9500-16x, catalyst_c9300l-48t-4x, catalyst_c9200l-48t-4x, catalyst_c9500-32c, catalyst_c9200l-24pxg-4x, catalyst_c9300l-48t-4g, catalyst_c9500-48y4c, catalyst_c9200l-24pxg-2y, catalyst_c9600-lc-48yl, catalyst_c9410r, catalyst_c9200-48t, catalyst_c9300-48un, catalyst_c9300l-48p-4x, catalyst_c9600-lc-48tx, catalyst_c9300-24u, catalyst_c9500-32qc, catalyst_c9300-48u, catalyst_c9300-24p, catalyst_c9300l-24t-4x, catalyst_c9200-48p, catalyst_c9200l-24t-4g, ios_xe, catalyst_c9300-48t",HIGH,CWE-400,DNS,DNS
CVE-2018-15392,CVE-2018-15392,"A vulnerability in the DHCP service of Cisco Industrial Network Director could allow an unauthenticated, adjacent attacker to cause a denial of service (DoS) condition. The vulnerability is due to improper handling of DHCP lease requests. An attacker could exploit this vulnerability by sending malicious DHCP lease requests to an affected application. A successful exploit could allow the attacker to cause the DHCP service to terminate, resulting in a DoS condition.",cisco,industrial_network_director,MEDIUM,NVD-CWE-noinfo,DHCP,DHCP
CVE-2018-0174,CVE-2018-0174,"A vulnerability in the DHCP option 82 encapsulation functionality of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service (DoS) condition. The vulnerability exists because the affected software performs incomplete input validation of option 82 information that it receives in DHCP Version 4 (DHCPv4) packets from DHCP relay agents. An attacker could exploit this vulnerability by sending a crafted DHCPv4 packet to an affected device. A successful exploit could allow the attacker to cause the affected device to reload, resulting in a DoS condition. Cisco Bug IDs: CSCuh91645.","rockwellautomation, cisco","allen-bradley_stratix_5400, 7600_series_route_switch_processor_720, allen-bradley_armorstratix_5700, allen-bradley_stratix_5700, allen-bradley_stratix_8300, ios, allen-bradley_stratix_8000, 7600_series_supervisor_engine_720, ios_xe, 7600_series_supervisor_engine_32, allen-bradley_stratix_5410",HIGH,CWE-20,DHCP,DHCP
CVE-2021-0217,CVE-2021-0217,"A vulnerability in processing of certain DHCP packets from adjacent clients on EX Series and QFX Series switches running Juniper Networks Junos OS with DHCP local/relay server configured may lead to exhaustion of DMA memory causing a Denial of Service (DoS). Over time, exploitation of this vulnerability may cause traffic to stop being forwarded, or to crashing of the fxpc process. When Packet DMA heap utilization reaches 99%, the system will become unstable. Packet DMA heap utilization can be monitored through the following command: user@junos# request pfe execute target fpc0 timeout 30 command ""show heap"" ID Base Total(b) Free(b) Used(b) % Name -- ---------- ----------- ----------- ----------- --- ----------- 0 213301a8 536870488 387228840 149641648 27 Kernel 1 91800000 8388608 3735120 4653488 55 DMA 2 92000000 75497472 74452192 1045280 1 PKT DMA DESC 3 d330000 335544320 257091400 78452920 23 Bcm_sdk 4 96800000 184549376 2408 184546968 99 Packet DMA <--- 5 903fffe0 20971504 20971504 0 0 Blob An indication of the issue occurring may be observed through the following log messages: Dec 10 08:07:00.124 2020 hostname fpc0 brcm_pkt_buf_alloc:523 (buf alloc) failed allocating packet buffer Dec 10 08:07:00.126 2020 hostname fpc0 (buf alloc) failed allocating packet buffer Dec 10 08:07:00.128 2020 hostname fpc0 brcm_pkt_buf_alloc:523 (buf alloc) failed allocating packet buffer Dec 10 08:07:00.130 2020 hostnameC fpc0 (buf alloc) failed allocating packet buffer This issue affects Juniper Networks Junos OS on EX Series and QFX Series: 17.4R3 versions prior to 17.4R3-S3; 18.1R3 versions between 18.1R3-S6 and 18.1R3-S11; 18.2R3 versions prior to 18.2R3-S6; 18.3R3 versions prior to 18.3R3-S4; 18.4R2 versions prior to 18.4R2-S5; 18.4R3 versions prior to 18.4R3-S6; 19.1 versions between 19.1R2 and 19.1R3-S3; 19.2 versions prior to 19.2R3-S1; 19.3 versions prior to 19.3R2-S5, 19.3R3; 19.4 versions prior to 19.4R2-S2, 19.4R3; 20.1 versions prior to 20.1R2; 20.2 versions prior to 20.2R1-S2, 20.2R2. Junos OS versions prior to 17.4R3 are unaffected by this vulnerability.",juniper,"junos, ex3400, ex2300-c, ex4650, qfx10016, qfx5120, qfx5210, qfx5220, qfx5200, ex4600, qfx5110, ex9200, ex4300, qfx10002, ex4300m, qfx10008, qfx5130, ex2300, ex2300m, qfx5100, ex9250",HIGH,CWE-119,DHCP,DHCP
CVE-2021-31895,CVE-2021-31895,"A vulnerability has been identified in RUGGEDCOM ROS M2100 (All versions < V4.3.7), RUGGEDCOM ROS M2200 (All versions < V4.3.7), RUGGEDCOM ROS M969 (All versions < V4.3.7), RUGGEDCOM ROS RMC (All versions < V4.3.7), RUGGEDCOM ROS RMC20 (All versions < V4.3.7), RUGGEDCOM ROS RMC30 (All versions < V4.3.7), RUGGEDCOM ROS RMC40 (All versions < V4.3.7), RUGGEDCOM ROS RMC41 (All versions < V4.3.7), RUGGEDCOM ROS RMC8388 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RMC8388 V5.X (All versions < V5.5.4), RUGGEDCOM ROS RP110 (All versions < V4.3.7), RUGGEDCOM ROS RS400 (All versions < V4.3.7), RUGGEDCOM ROS RS401 (All versions < V4.3.7), RUGGEDCOM ROS RS416 (All versions < V4.3.7), RUGGEDCOM ROS RS416v2 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RS416v2 V5.X (All versions < 5.5.4), RUGGEDCOM ROS RS8000 (All versions < V4.3.7), RUGGEDCOM ROS RS8000A (All versions < V4.3.7), RUGGEDCOM ROS RS8000H (All versions < V4.3.7), RUGGEDCOM ROS RS8000T (All versions < V4.3.7), RUGGEDCOM ROS RS900 (32M) V4.X (All versions < V4.3.7), RUGGEDCOM ROS RS900 (32M) V5.X (All versions < V5.5.4), RUGGEDCOM ROS RS900G (All versions < V4.3.7), RUGGEDCOM ROS RS900G (32M) V4.X (All versions < V4.3.7), RUGGEDCOM ROS RS900G (32M) V5.X (All versions < V5.5.4), RUGGEDCOM ROS RS900GP (All versions < V4.3.7), RUGGEDCOM ROS RS900L (All versions < V4.3.7), RUGGEDCOM ROS RS900W (All versions < V4.3.7), RUGGEDCOM ROS RS910 (All versions < V4.3.7), RUGGEDCOM ROS RS910L (All versions < V4.3.7), RUGGEDCOM ROS RS910W (All versions < V4.3.7), RUGGEDCOM ROS RS920L (All versions < V4.3.7), RUGGEDCOM ROS RS920W (All versions < V4.3.7), RUGGEDCOM ROS RS930L (All versions < V4.3.7), RUGGEDCOM ROS RS930W (All versions < V4.3.7), RUGGEDCOM ROS RS940G (All versions < V4.3.7), RUGGEDCOM ROS RS969 (All versions < V4.3.7), RUGGEDCOM ROS RSG2100 (32M) V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2100 (32M) V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG2100 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2100P (All versions < V4.3.7), RUGGEDCOM ROS RSG2100P (32M) V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2100P (32M) V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG2200 (All versions < V4.3.7), RUGGEDCOM ROS RSG2288 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2288 V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG2300 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2300 V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG2300P V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2300P V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG2488 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG2488 V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG900 V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG900 V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG900C (All versions < V5.5.4), RUGGEDCOM ROS RSG900G V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG900G V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSG900R (All versions < V5.5.4), RUGGEDCOM ROS RSG920P V4.X (All versions < V4.3.7), RUGGEDCOM ROS RSG920P V5.X (All versions < V5.5.4), RUGGEDCOM ROS RSL910 (All versions < V5.5.4), RUGGEDCOM ROS RST2228 (All versions < V5.5.4), RUGGEDCOM ROS RST916C (All versions < V5.5.4), RUGGEDCOM ROS RST916P (All versions < V5.5.4), RUGGEDCOM ROS i800 (All versions < V4.3.7), RUGGEDCOM ROS i801 (All versions < V4.3.7), RUGGEDCOM ROS i802 (All versions < V4.3.7), RUGGEDCOM ROS i803 (All versions < V4.3.7). The DHCP client in affected devices fails to properly sanitize incoming DHCP packets. This could allow an unauthenticated remote attacker to cause memory to be overwritten, potentially allowing remote code execution.",siemens,"ruggedcom_ros_m2100, ruggedcom_rst916c, ruggedcom_ros_rs900l, ruggedcom_ros_rmc41, ruggedcom_rsg2300, ruggedcom_rs900w, ruggedcom_rs8000h, ruggedcom_rsl910, ruggedcom_rmc20, ruggedcom_ros_rs8000h, ruggedcom_rs401, ruggedcom_ros_rs910w, ruggedcom_ros_rst916c, ruggedcom_rmc30, ruggedcom_ros_rsg2200, ruggedcom_rmc41, ruggedcom_ros_rsg2100p, ruggedcom_ros_rs416v2, ruggedcom_ros_rsg900r, ruggedcom_rsg920p, ruggedcom_rs910, ruggedcom_rs930w, ruggedcom_m2100, ruggedcom_ros_i802, ruggedcom_ros_rsg2300, ruggedcom_rsg900c, ruggedcom_rsg2488, ruggedcom_rsg2100, ruggedcom_rsg2288, ruggedcom_rs900g, ruggedcom_ros_rs400, ruggedcom_ros_rs900, ruggedcom_ros_rs920l, ruggedcom_ros_rsl910, ruggedcom_rs920l, ruggedcom_ros_rsg900c, ruggedcom_rs930l, ruggedcom_i801, ruggedcom_rs400, ruggedcom_ros_rs969, ruggedcom_ros_rs940g, ruggedcom_i800, ruggedcom_ros_rs930l, ruggedcom_rsg2300p, ruggedcom_rp110, ruggedcom_rsg2100p, ruggedcom_ros_m2200, ruggedcom_rs416v2, ruggedcom_ros_rsg2488, ruggedcom_ros_rs8000a, ruggedcom_ros_rmc, ruggedcom_i803, ruggedcom_rst2228, ruggedcom_ros_rs416, ruggedcom_ros_rs900w, ruggedcom_ros_rs401, ruggedcom_ros_rs910, ruggedcom_rs8000a, ruggedcom_ros_rsg2288, ruggedcom_ros_rmc8388, ruggedcom_rsg900g, ruggedcom_rs8000, ruggedcom_ros_rp110, ruggedcom_ros_rsg920p, ruggedcom_rs416, ruggedcom_rs910w, ruggedcom_ros_m969, ruggedcom_ros_rst2228, ruggedcom_rs940g, ruggedcom_ros_rst916p, ruggedcom_rmc, ruggedcom_rmc40, ruggedcom_rs969, ruggedcom_ros_rsg900g, ruggedcom_ros_rs8000, ruggedcom_rmc8388, ruggedcom_rsg2200, ruggedcom_rs900l, ruggedcom_rs8000t, ruggedcom_ros_rs8000t, ruggedcom_ros_i801, ruggedcom_rsg900r, ruggedcom_rsg900, ruggedcom_ros_rs930w, ruggedcom_rs900, ruggedcom_rs910l, ruggedcom_m2200, ruggedcom_ros_rmc40, ruggedcom_ros_rsg900, ruggedcom_m969, ruggedcom_rst916p, ruggedcom_ros_rs910l, ruggedcom_ros_rs900gp, ruggedcom_ros_rmc20, ruggedcom_ros_rs920w, ruggedcom_rs920w, ruggedcom_ros_i803, ruggedcom_ros_rsg2100, ruggedcom_i802, ruggedcom_ros_i800, ruggedcom_ros_rs900g, ruggedcom_ros_rmc30, ruggedcom_ros_rsg2300p, ruggedcom_rs900gp",CRITICAL,"CWE-787, CWE-120",DHCP,DHCP
CVE-2019-5464,CVE-2019-5464,A flawed DNS rebinding protection issue was discovered in GitLab CE/EE 10.2 and later in the `url_blocker.rb` which could result in SSRF where the library is utilized.,gitlab,gitlab,CRITICAL,CWE-918,DNS,DNS
CVE-2020-25687,CVE-2020-25687,"A flaw was found in dnsmasq before version 2.83. A heap-based buffer overflow was discovered in dnsmasq when DNSSEC is enabled and before it validates the received DNS entries. This flaw allows a remote attacker, who can create valid DNS replies, to cause an overflow in a heap-allocated memory. This flaw is caused by the lack of length checks in rfc1035.c:extract_name(), which could be abused to make the code execute memcpy() with a negative size in sort_rrset() and cause a crash in dnsmasq, resulting in a denial of service. The highest threat from this vulnerability is to system availability.","thekelleys, fedoraproject, debian","debian_linux, fedora, dnsmasq",MEDIUM,CWE-122,DNS,DNS
