CVE-ID,NVD-Link,Description,Vendor,Software,Severity,CWE-ID,Protocol,Relation,Origin,Reasoning,Unnamed: 2,ChatGPT_Response
CVE-2020-27861,CVE-2020-27861,This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of NETGEAR Orbi 2.5.1.16 routers. Authentication is not required to exploit this vulnerability. The specific flaw exists within the UA_Parser utility. A crafted Host Name option in a DHCP request can trigger execution of a system call composed from a user-supplied string. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-11076.,netgear,"rbk20, rbk20w_firmware, rbk15_firmware, ex6200_firmware, rbk33, rbk13_firmware, cbr40_firmware, rbr20, rbk43_router_firmware, rbs50_firmware, ex8000, rbk22_satellite_firmware, rbk52w_firmware, rbk43_satellite_firmware, rbr40, rbk23w, rbs10, rbr40_firmware, rbk30, rbk12_firmware, cbr40, rbs20_firmware, rbk43s_satellite_firmware, cbk40_firmware, rbr20_firmware, rbk40_router_firmware, rbk43s_router_firmware, rbk44_router_firmware, rbk14, rbk30_firmware, cbk40, rbk44, rbk43, rbr10_firmware, rbk13, rbk44_satellite_firmware, ex6200, rbk52w, rbs40_firmware, rbk50_firmware, rbk14_firmware, rbk50, rbk22_router_firmware, rbk23_router_firmware, rbr50, rbk23_satellite_firmware, rbk33_firmware, rbs50, ex7700_firmware, rbk40_satellite_firmware, rbk40, rbk20w, rbk20_satellite_firmware, rbk22, rbk23, ex7700, rbr50_firmware, rbk23w_firmware, cbk43_firmware, rbs20, rbk50v, ex8000_firmware, rbk20_router_firmware, rbk43s, rbk15, rbs10_firmware, rbr10, rbk50v_firmware, rbk12, cbk43, rbs40",HIGH,CWE-78,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,DNS (Domain Name System)
CVE-2018-0055,CVE-2018-0055,"Receipt of a specially crafted DHCPv6 message destined to a Junos OS device configured as a DHCP server in a Broadband Edge (BBE) environment may result in a jdhcpd daemon crash. The daemon automatically restarts without intervention, but a continuous receipt of crafted DHCPv6 packets could leaded to an extended denial of service condition. This issue only affects Junos OS 15.1 and later. Earlier releases are unaffected by this issue. Devices are only vulnerable to the specially crafted DHCPv6 message if DHCP services are configured. Devices not configured to act as a DHCP server are not vulnerable to this issue. Affected releases are Juniper Networks Junos OS: 15.1 versions prior to 15.1R7-S2; 15.1X49 versions prior to 15.1X49-D160; 15.1X53 versions prior to 15.1X53-D235, 15.1X53-D495; 16.1 versions prior to 16.1R4-S11, 16.1R6-S6, 16.1R7-S2; 16.2 versions prior to 16.2R2-S7; 17.1 versions prior to 17.1R2-S9; 17.2 versions prior to 17.2R2-S6; 17.3 versions prior to 17.3R3-S1; 17.4 versions prior to 17.4R1-S5; 18.1 versions prior to 18.1R2-S3; 18.2 versions prior to 18.2R1-S2; 18.2X75 versions prior to 18.2X75-D20.",juniper,junos,MEDIUM,CWE-20,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,DNS (Domain Name System)
CVE-2018-1658,CVE-2018-1658,"IBM Jazz Foundation (IBM Rational Collaborative Lifecycle Management 5.0 through 6.0.6) is vulnerable to HTTP header injection, caused by improper validation of input. By persuading a victim to visit a specially-crafted Web page, a remote attacker could exploit this vulnerability to inject arbitrary HTTP headers, which will allow the attacker to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking. IBM X-Force ID: 144884.",ibm,rational_collaborative_lifecycle_management,MEDIUM,CWE-20,,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,,"DNS, DHCP"
CVE-2018-0057,CVE-2018-0057,"On MX Series and M120/M320 platforms configured in a Broadband Edge (BBE) environment, subscribers logging in with DHCP Option 50 to request a specific IP address will be assigned the requested IP address, even if there is a static MAC to IP address binding in the access profile. In the problem scenario, with a hardware-address and IP address configured under address-assignment pool, if a subscriber logging in with DHCP Option 50, the subscriber will not be assigned an available address from the matched pool, but will still get the requested IP address. A malicious DHCP subscriber may be able to utilize this vulnerability to create duplicate IP address assignments, leading to a denial of service for valid subscribers or unauthorized information disclosure via IP address assignment spoofing. Affected releases are Juniper Networks Junos OS: 15.1 versions prior to 15.1R7-S2, 15.1R8; 16.1 versions prior to 16.1R4-S12, 16.1R7-S2, 16.1R8; 16.2 versions prior to 16.2R2-S7, 16.2R3; 17.1 versions prior to 17.1R2-S9, 17.1R3; 17.2 versions prior to 17.2R1-S7, 17.2R2-S6, 17.2R3; 17.3 versions prior to 17.3R2-S4, 17.3R3; 17.4 versions prior to 17.4R2; 18.1 versions prior to 18.1R2-S3, 18.1R3.",juniper,junos,CRITICAL,NVD-CWE-noinfo,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,"DNS, DHCP"
CVE-2019-12264,CVE-2019-12264,"Wind River VxWorks 6.6, 6.7, 6.8, 6.9.3, 6.9.4, and Vx7 has Incorrect Access Control in IPv4 assignment by the ipdhcpc DHCP client component.","windriver, siemens, belden","hirschmann_dragon_mach4000, ruggedcom_win7200_firmware, hirschmann_eesx30, garrettcom_magnum_dx940e_firmware, ruggedcom_win7000, hirschmann_octopus_os3, hirschmann_rsp20, hirschmann_msp32, ruggedcom_win7018_firmware, hirschmann_rspe32, ruggedcom_win7000_firmware, hirschmann_msp40, hirschmann_grs1020, hirschmann_rspe35, hirschmann_grs1142, hirschmann_ees25, hirschmann_red25, hirschmann_grs1130, ruggedcom_win7025, hirschmann_rspe30, ruggedcom_win7025_firmware, hirschmann_rsp25, hirschmann_rail_switch_power_lite, ruggedcom_win7200, hirschmann_msp30, garrettcom_magnum_dx940e, hirschmann_eagle_one, hirschmann_ees20, hirschmann_rail_switch_power_smart, vxworks, hirschmann_grs1042, hirschmann_rsp35, hirschmann_dragon_mach4500, hirschmann_rsp30, hirschmann_rspe37, hirschmann_eagle20, hirschmann_eagle30, hirschmann_grs1030, ruggedcom_win7018, hirschmann_grs1120, hirschmann_eesx20, hirschmann_hios",HIGH,CWE-88,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,"DNS, DHCP"
CVE-2019-12513,CVE-2019-12513,"In NETGEAR Nighthawk X10-R900 prior to 1.0.4.24, by sending a DHCP discover request containing a malicious hostname field, an attacker may execute stored XSS attacks against this device. When the malicious DHCP request is received, the device will generate a log entry containing the malicious hostname. This log entry may then be viewed at Advanced settings->Administration->Logs to trigger the exploit. Although this value is inserted into a textarea tag, converted to all-caps, and limited in length, attacks are still possible.",netgear,"nighthawk_x10-r9000_firmware, nighthawk_x10-r9000",MEDIUM,CWE-79,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,DNSDHCP
CVE-2020-5753,CVE-2020-5753,Signal Private Messenger Android v4.59.0 and up and iOS v3.8.1.5 and up allows a remote non-contact to ring a victim's Signal phone and disclose currently used DNS server due to ICE Candidate handling before call is answered or declined.,signal,"signal, private_messenger",MEDIUM,CWE-670,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,Domain Name System (DNS)
CVE-2015-1349,CVE-2015-1349,"named in ISC BIND 9.7.0 through 9.9.6 before 9.9.6-P2 and 9.10.x before 9.10.1-P2, when DNSSEC validation and the managed-keys feature are enabled, allows remote attackers to cause a denial of service (assertion failure and daemon exit, or daemon crash) by triggering an incorrect trust-anchor management scenario in which no key is ready for use.",isc,bind,MEDIUM,CWE-399,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,Domain Name System (DNS)
CVE-2013-5218,CVE-2013-5218,"Cross-site scripting (XSS) vulnerability on the HOT HOTBOX router with software 2.1.11 allows remote attackers to inject arbitrary web script or HTML via a crafted DHCP Host Name option, which is not properly handled during rendering of the DHCP table in wlanAccess.asp.",hot,"hotbox_router_firmware, hotbox_router",LOW,CWE-79,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,DNS (Domain Name System)
CVE-2009-4630,CVE-2009-4630,"Mozilla Necko, as used in Firefox, SeaMonkey, and other applications, performs DNS prefetching of domain names contained in links within local HTML documents, which makes it easier for remote attackers to determine the network location of the application's user by logging DNS requests.  NOTE: the vendor disputes the significance of this issue, stating ""I don't think we necessarily need to worry about that case.""",mozilla,"firefox, thunderbird, seamonkey",MEDIUM,CWE-200,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
CVE-2009-0025,CVE-2009-0025,"BIND 9.6.0, 9.5.1, 9.5.0, 9.4.3, and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",isc,bind,MEDIUM,CWE-287,,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,,Domain Name System (DNS)
CVE-2021-31702,CVE-2021-31702,"Frontier ichris through 5.18 mishandles making a DNS request for the hostname in the HTTP Host header, as demonstrated by submitting 127.0.0.1 multiple times for DoS.",frontiersoftware,ichris,HIGH,NVD-CWE-noinfo,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,DNS
CVE-2002-0840,CVE-2002-0840,"Cross-site scripting (XSS) vulnerability in the default error page of Apache 2.0 before 2.0.43, and 1.3.x up to 1.3.26, when UseCanonicalName is ""Off"" and support for wildcard DNS is present, allows remote attackers to execute script as other web page visitors via the Host: header, a different vulnerability than CAN-2002-1157.","oracle, apache","http_server, database_server, oracle8i, application_server, oracle9i",MEDIUM,NVD-CWE-Other,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,"DNS, DHCP"
CVE-2006-2372,CVE-2006-2372,"Buffer overflow in the DHCP Client service for Microsoft Windows 2000 SP4, Windows XP SP1 and SP2, and Server 2003 up to SP1 allows remote attackers to execute arbitrary code via a crafted DHCP response.",microsoft,dhcp_client_service,HIGH,CWE-119,DHCP,Related,Implementation,"The vulnerability is due to a buffer overflow in the implementation of the DHCP Client service, which allows remote attackers to execute arbitrary code via a crafted DHCP response.",,Domain Name System (DNS)
CVE-2007-4390,CVE-2007-4390,"The Command Line Interface (CLI), aka Adonis Administration Console, on the BlueCat Networks Adonis DNS/DHCP appliance 5.0.2.8 allows local admin users to gain root privileges on the underlying operating system via shell metacharacters in a command.",bluecat_networks,adonis,HIGH,CWE-264,DNS,Related,Implementation,"The vulnerability is due to a buffer overflow in the DHCP Client service for Microsoft Windows, allowing remote attackers to execute arbitrary code via a crafted DHCP response. This indicates an implementation flaw.",,"DNS, DHCP"
CVE-2020-10772,CVE-2020-10772,"An incomplete fix for CVE-2020-12662 was shipped for Unbound in Red Hat Enterprise Linux 7, as part of erratum RHSA-2020:2414. Vulnerable versions of Unbound could still amplify an incoming query into a large number of queries directed to a target, even with a lower amplification ratio compared to versions of Unbound that shipped before the mentioned erratum. This issue is about the incomplete fix for CVE-2020-12662, and it does not affect upstream versions of Unbound.","nlnetlabs, redhat","enterprise_linux, unbound",HIGH,CWE-400,,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,,"DNS, DHCP"
CVE-2020-15136,CVE-2020-15136,"In ectd before versions 3.4.10 and 3.3.23, gateway TLS authentication is only applied to endpoints detected in DNS SRV records. When starting a gateway, TLS authentication will only be attempted on endpoints identified in DNS SRV records for a given domain, which occurs in the discoverEndpoints function. No authentication is performed against endpoints provided in the --endpoints flag. This has been fixed in versions 3.4.10 and 3.3.23 with improved documentation and deprecation of the functionality.","fedoraproject, redhat","etcd, fedora",MEDIUM,CWE-306,DNS,Related,Logic,"The vulnerability directly affects the core functionality of the DNS protocol, indicating a design flaw in how DNS requests are processed.",,Domain Name System (DNS)
CVE-2016-2774,CVE-2016-2774,"ISC DHCP 4.1.x before 4.1-ESV-R13 and 4.2.x and 4.3.x before 4.3.4 does not restrict the number of concurrent TCP sessions, which allows remote attackers to cause a denial of service (INSIST assertion failure or request-processing outage) by establishing many sessions.","canonical, isc, debian","ubuntu_linux, debian_linux, dhcp",MEDIUM,CWE-20,DHCP,Related,Logic,"The vulnerability is inherent in the design of the DHCP protocol, leading to potential exploitation through its logic.",,none
CVE-2019-25037,CVE-2019-25037,"** DISPUTED ** Unbound before 1.9.5 allows an assertion failure and denial of service in dname_pkt_copy via an invalid packet. NOTE: The vendor disputes that this is a vulnerability. Although the code may be vulnerable, a running Unbound installation cannot be remotely or locally exploited.","nlnetlabs, debian","debian_linux, unbound",HIGH,CWE-617,,Unrelated,Implementation,The vulnerability does not involve DNS or DHCP and stems from an implementation issue.,,Domain Name System (DNS)
